trip_id,arrival_time,departure_time,stop_id,stop_sequence,pickup_type,drop_off_type,timepoint,shape_dist_traveled,continuous_pickup,continuous_drop_off
trip_2603280916_45222,08:00:00,08:00:00,stop_2603280916_80828,0,,,,,,
trip_2603280916_45222,08:02:00,08:02:00,stop_2603280916_27515,1,,,,,,
trip_2603280916_45222,08:04:00,08:04:00,stop_2603280916_76068,2,,,,,,
trip_2603280916_45222,08:06:00,08:06:00,stop_2603280916_79695,3,,,,,,
trip_2603280916_45222,08:08:00,08:08:00,stop_2603280916_80663,4,,,,,,
trip_2603280916_45222,08:10:00,08:10:00,stop_2603280916_38409,5,,,,,,
trip_2603280916_45222,08:12:00,08:12:00,stop_2603280916_51730,6,,,,,,
trip_2603280916_45222,08:14:00,08:14:00,stop_2603280916_67916,7,,,,,,
trip_2603280916_45222,08:16:00,08:16:00,stop_2603280916_13796,8,,,,,,
trip_2603280916_45222,08:18:00,08:18:00,stop_2603280916_56233,9,,,,,,
trip_2603280916_45222,08:20:00,08:20:00,stop_2603280916_11606,10,,,,,,
trip_2603280916_45222,08:22:00,08:22:00,stop_2603280916_20382,11,,,,,,
trip_2603280916_45222,08:24:00,08:24:00,stop_2603280916_13089,12,,,,,,
trip_2603280916_45222,08:26:00,08:26:00,stop_2603280916_91139,13,,,,,,
trip_2603280916_45222,08:28:00,08:28:00,stop_2603280916_90780,14,,,,,,
trip_2603280916_45222,08:30:00,08:30:00,stop_2603280916_73723,15,,,,,,
trip_2603280916_45222,08:32:00,08:32:00,stop_2603280916_42075,16,,,,,,
trip_2603280916_45222,08:34:00,08:34:00,stop_2603280916_20580,17,,,,,,
trip_2603280916_45222,08:36:00,08:36:00,stop_2603280916_60259,18,,,,,,
trip_2603280921_09925,06:00:00,06:00:00,stop_2603280916_80828,0,,,,,,
trip_2603280921_09925,06:02:00,06:02:00,stop_2603280916_27515,1,,,,,,
trip_2603280921_09925,06:04:00,06:04:00,stop_2603280916_76068,2,,,,,,
trip_2603280921_09925,06:06:00,06:06:00,stop_2603280916_79695,3,,,,,,
trip_2603280921_09925,06:08:00,06:08:00,stop_2603280916_80663,4,,,,,,
trip_2603280921_09925,06:10:00,06:10:00,stop_2603280916_38409,5,,,,,,
trip_2603280921_09925,06:12:00,06:12:00,stop_2603280916_51730,6,,,,,,
trip_2603280921_09925,06:14:00,06:14:00,stop_2603280916_67916,7,,,,,,
trip_2603280921_09925,06:16:00,06:16:00,stop_2603280916_13796,8,,,,,,
trip_2603280921_09925,06:18:00,06:18:00,stop_2603280916_56233,9,,,,,,
trip_2603280921_09925,06:20:00,06:20:00,stop_2603280916_11606,10,,,,,,
trip_2603280921_09925,06:22:00,06:22:00,stop_2603280916_20382,11,,,,,,
trip_2603280921_09925,06:24:00,06:24:00,stop_2603280916_13089,12,,,,,,
trip_2603280921_09925,06:26:00,06:26:00,stop_2603280916_91139,13,,,,,,
trip_2603280921_09925,06:28:00,06:28:00,stop_2603280916_90780,14,,,,,,
trip_2603280921_09925,06:30:00,06:30:00,stop_2603280916_73723,15,,,,,,
trip_2603280921_09925,06:32:00,06:32:00,stop_2603280916_42075,16,,,,,,
trip_2603280921_09925,06:34:00,06:34:00,stop_2603280916_20580,17,,,,,,
trip_2603280921_09925,06:36:00,06:36:00,stop_2603280916_60259,18,,,,,,
trip_2603280921_50211,06:00:00,06:00:00,stop_2603280916_80828,0,,,,,,
trip_2603280921_50211,06:02:00,06:02:00,stop_2603280916_27515,1,,,,,,
trip_2603280921_50211,06:04:00,06:04:00,stop_2603280916_76068,2,,,,,,
trip_2603280921_50211,06:06:00,06:06:00,stop_2603280916_79695,3,,,,,,
trip_2603280921_50211,06:08:00,06:08:00,stop_2603280916_80663,4,,,,,,
trip_2603280921_50211,06:10:00,06:10:00,stop_2603280916_38409,5,,,,,,
trip_2603280921_50211,06:12:00,06:12:00,stop_2603280916_51730,6,,,,,,
trip_2603280921_50211,06:14:00,06:14:00,stop_2603280916_67916,7,,,,,,
trip_2603280921_50211,06:16:00,06:16:00,stop_2603280916_13796,8,,,,,,
trip_2603280921_50211,06:18:00,06:18:00,stop_2603280916_56233,9,,,,,,
trip_2603280921_50211,06:20:00,06:20:00,stop_2603280916_11606,10,,,,,,
trip_2603280921_50211,06:22:00,06:22:00,stop_2603280916_20382,11,,,,,,
trip_2603280921_50211,06:24:00,06:24:00,stop_2603280916_13089,12,,,,,,
trip_2603280921_50211,06:26:00,06:26:00,stop_2603280916_91139,13,,,,,,
trip_2603280921_50211,06:28:00,06:28:00,stop_2603280916_90780,14,,,,,,
trip_2603280921_50211,06:30:00,06:30:00,stop_2603280916_73723,15,,,,,,
trip_2603280921_50211,06:32:00,06:32:00,stop_2603280916_42075,16,,,,,,
trip_2603280921_50211,06:34:00,06:34:00,stop_2603280916_20580,17,,,,,,
trip_2603280921_50211,06:36:00,06:36:00,stop_2603280916_60259,18,,,,,,
trip_2603280916_59056,08:00:00,08:00:00,stop_2603280916_80828,0,,,,,,
trip_2603280916_59056,08:02:00,08:02:00,stop_2603280916_27515,1,,,,,,
trip_2603280916_59056,08:04:00,08:04:00,stop_2603280916_19271,2,,,,,,
trip_2603280916_59056,08:06:00,08:06:00,stop_2603280916_76068,3,,,,,,
trip_2603280916_59056,08:08:00,08:08:00,stop_2603280916_06722,4,,,,,,
trip_2603280916_59056,08:10:00,08:10:00,stop_2603280916_50649,5,,,,,,
trip_2603280916_59056,08:12:00,08:12:00,stop_2603280916_51730,6,,,,,,
trip_2603280916_59056,08:14:00,08:14:00,stop_2603280916_67916,7,,,,,,
trip_2603280916_59056,08:16:00,08:16:00,stop_2603280916_18038,8,,,,,,
trip_2603280916_59056,08:18:00,08:18:00,stop_2603280916_46498,9,,,,,,
trip_2603280916_59056,08:20:00,08:20:00,stop_2603280916_03918,10,,,,,,
trip_2603280916_59056,08:22:00,08:22:00,stop_2603280916_21108,11,,,,,,
trip_2603280916_59056,08:24:00,08:24:00,stop_2603280916_80288,12,,,,,,
trip_2603280916_59056,08:26:00,08:26:00,stop_2603280916_87512,13,,,,,,
trip_2603280916_59056,08:28:00,08:28:00,stop_2603280916_93989,14,,,,,,
trip_2603280916_59056,08:30:00,08:30:00,stop_2603280916_17902,15,,,,,,
trip_2603280916_59056,08:32:00,08:32:00,stop_2603280916_91139,16,,,,,,
trip_2603280916_59056,08:34:00,08:34:00,stop_2603280916_90780,17,,,,,,
trip_2603280916_59056,08:36:00,08:36:00,stop_2603280916_73723,18,,,,,,
trip_2603280916_59056,08:38:00,08:38:00,stop_2603280916_42075,19,,,,,,
trip_2603280916_59056,08:40:00,08:40:00,stop_2603280916_20580,20,,,,,,
trip_2603280916_59056,08:42:00,08:42:00,stop_2603280916_60259,21,,,,,,
trip_2603280916_59056,08:44:00,08:44:00,stop_2603280916_57792,22,,,,,,
trip_2603280916_59056,08:46:00,08:46:00,stop_2603280916_41948,23,,,,,,
trip_2603280916_59056,08:48:00,08:48:00,stop_2603280916_75967,24,,,,,,
trip_2603280916_59056,08:50:00,08:50:00,stop_2603280916_79316,25,,,,,,
trip_2603280916_59056,08:52:00,08:52:00,stop_2603280916_91154,26,,,,,,
trip_2603280916_59056,08:54:00,08:54:00,stop_2603280916_12113,27,,,,,,
trip_2603280921_93759,06:00:00,06:00:00,stop_2603280916_80828,0,,,,,,
trip_2603280921_93759,06:02:00,06:02:00,stop_2603280916_27515,1,,,,,,
trip_2603280921_93759,06:04:00,06:04:00,stop_2603280916_19271,2,,,,,,
trip_2603280921_93759,06:06:00,06:06:00,stop_2603280916_76068,3,,,,,,
trip_2603280921_93759,06:08:00,06:08:00,stop_2603280916_06722,4,,,,,,
trip_2603280921_93759,06:10:00,06:10:00,stop_2603280916_50649,5,,,,,,
trip_2603280921_93759,06:12:00,06:12:00,stop_2603280916_51730,6,,,,,,
trip_2603280921_93759,06:14:00,06:14:00,stop_2603280916_67916,7,,,,,,
trip_2603280921_93759,06:16:00,06:16:00,stop_2603280916_18038,8,,,,,,
trip_2603280921_93759,06:18:00,06:18:00,stop_2603280916_46498,9,,,,,,
