assignment_id,vehicle_id,route_id,trip_id,service_id,start_date,end_date,block_id,notes
va_2603281628_89507,vehicle_2603280934_37612,route_2603280916_20893,trip_2603280916_59056,svc_2603280916_22304,20260101,20280328,,Маршрут 3
va_2603281628_07144,vehicle_2603280934_37612,route_2603280916_20893,trip_2603280921_93759,svc_2603280921_97024,20260101,20280328,,Маршрут 3
va_2603281628_51317,vehicle_2603280934_37612,route_2603280916_20893,trip_2603280921_31946,svc_2603280921_32376,20260101,20280328,,Маршрут 3
va_2603281628_11580,vehicle_2603280934_19127,route_2603280916_13897,trip_2603280916_14507,svc_2603280916_22304,20260101,20280328,,Маршрут 2
va_2603281628_98419,vehicle_2603280934_19127,route_2603280916_13897,trip_2603280921_32488,svc_2603280921_97024,20260101,20280328,,Маршрут 2
va_2603281628_62026,vehicle_2603280934_19127,route_2603280916_13897,trip_2603280921_93069,svc_2603280921_32376,20260101,20280328,,Маршрут 2
va_2603281628_20360,vehicle_2603280934_27852,route_2603280916_31531,trip_2603280916_37592,svc_2603280916_22304,20260101,20280328,,Маршрут 2
va_2603281628_18336,vehicle_2603280934_27852,route_2603280916_31531,trip_2603280921_30661,svc_2603280921_97024,20260101,20280328,,Маршрут 2
va_2603281628_27668,vehicle_2603280934_27852,route_2603280916_31531,trip_2603280921_88118,svc_2603280921_32376,20260101,20280328,,Маршрут 2
va_2603281628_19744,vehicle_2603280934_73141,route_2603280916_78990,trip_2603280916_15516,svc_2603280916_22304,20260101,20280328,,Маршрут 4
va_2603281628_05529,vehicle_2603280934_73141,route_2603280916_78990,trip_2603280921_82395,svc_2603280921_97024,20260101,20280328,,Маршрут 4
va_2603281628_61702,vehicle_2603280934_73141,route_2603280916_78990,trip_2603280921_95188,svc_2603280921_32376,20260101,20280328,,Маршрут 4
va_2603281628_02159,vehicle_2603280934_47524,route_2603280916_44638,trip_2603280916_59747,svc_2603280916_22304,20260101,20280328,,Маршрут 6к
va_2603281628_02371,vehicle_2603280934_47524,route_2603280916_44638,trip_2603280921_74199,svc_2603280921_97024,20260101,20280328,,Маршрут 6к
va_2603281628_83955,vehicle_2603280934_47524,route_2603280916_44638,trip_2603280921_54829,svc_2603280921_32376,20260101,20280328,,Маршрут 6к
va_2603281628_55561,vehicle_2603280934_04355,route_2603280916_84939,trip_2603280916_74546,svc_2603280916_22304,20260101,20280328,,Маршрут 6к
va_2603281628_47042,vehicle_2603280934_04355,route_2603280916_84939,trip_2603280921_52025,svc_2603280921_97024,20260101,20280328,,Маршрут 6к
va_2603281628_12906,vehicle_2603280934_04355,route_2603280916_84939,trip_2603280921_64722,svc_2603280921_32376,20260101,20280328,,Маршрут 6к
va_2603281628_71993,vehicle_2603280934_54101,route_2603280916_45946,trip_2603280916_12109,svc_2603280916_22304,20260101,20280328,,Маршрут 11
va_2603281628_93219,vehicle_2603280934_54101,route_2603280916_45946,trip_2603280921_55785,svc_2603280921_97024,20260101,20280328,,Маршрут 11
va_2603281628_52601,vehicle_2603280934_54101,route_2603280916_45946,trip_2603280921_13245,svc_2603280921_32376,20260101,20280328,,Маршрут 11
va_2603281628_90373,vehicle_2603280934_46817,route_2603280916_60131,trip_2603280916_81785,svc_2603280916_22304,20260101,20280328,,Маршрут 11
va_2603281628_83748,vehicle_2603280934_46817,route_2603280916_60131,trip_2603280921_33656,svc_2603280921_97024,20260101,20280328,,Маршрут 11
va_2603281628_74986,vehicle_2603280934_46817,route_2603280916_60131,trip_2603280921_32557,svc_2603280921_32376,20260101,20280328,,Маршрут 11
va_2603281628_51629,vehicle_2603280934_16312,route_2603280916_21428,trip_2603280916_40061,svc_2603280916_22304,20260101,20280328,,Маршрут 14
va_2603281628_73334,vehicle_2603280934_16312,route_2603280916_21428,trip_2603280921_05397,svc_2603280921_97024,20260101,20280328,,Маршрут 14
va_2603281628_82881,vehicle_2603280934_16312,route_2603280916_21428,trip_2603280921_70061,svc_2603280921_32376,20260101,20280328,,Маршрут 14
va_2603281628_25305,vehicle_2603280934_24691,route_2603280916_07341,trip_2603280916_98221,svc_2603280916_22304,20260101,20280328,,Маршрут 21
va_2603281628_67812,vehicle_2603280934_24691,route_2603280916_07341,trip_2603280921_10374,svc_2603280921_97024,20260101,20280328,,Маршрут 21
va_2603281628_50291,vehicle_2603280934_24691,route_2603280916_07341,trip_2603280921_38987,svc_2603280921_32376,20260101,20280328,,Маршрут 21
va_2603281628_76697,vehicle_2603280934_61674,route_2603280916_30702,trip_2603280916_10041,svc_2603280916_22304,20260101,20280328,,Маршрут 23
va_2603281628_15842,vehicle_2603280934_61674,route_2603280916_30702,trip_2603280921_38571,svc_2603280921_97024,20260101,20280328,,Маршрут 23
va_2603281628_59330,vehicle_2603280934_61674,route_2603280916_30702,trip_2603280921_26556,svc_2603280921_32376,20260101,20280328,,Маршрут 23
va_2603281628_29296,vehicle_2603280934_81395,route_2603281205_96075,trip_2603281205_56025,svc_2603280916_22304,20260101,20280328,,Маршрут 23
