stop_id,stop_name,stop_lat,stop_lon,stop_code,stop_desc,stop_url,location_type,wheelchair_boarding,zone_id,stop_timezone,platform_code,tts_stop_name
stop_2603280916_80828,Construction Town,53.070201,158.603492,,,,0,0,,,,
stop_2603280916_27515,Institute of Volcanology,53.069673,158.610004,,,,0,0,,,,
stop_2603280916_76068,Regional Library,53.065663,158.624385,,,,0,0,,,,
stop_2603280916_79695,Kamchatka Pedagogical College,53.061533,158.628919,,,,0,0,,,,
stop_2603280916_80663,Printing House,53.059552,158.634331,,,,0,0,,,,
stop_2603280916_38409,Geotherm JSC,53.064117,158.640227,,,,0,0,,,,
stop_2603280916_51730,Construction Market,53.063713,158.645759,,,,0,0,,,,
stop_2603280916_67916,Gorizont-Sever,53.060224,158.649939,,,,0,0,,,,
stop_2603280916_13796,Academician Korolev St.,53.054282,158.650112,,,,0,0,,,,
stop_2603280916_56233,Rodnichok Kindergarten,53.050019,158.658487,,,,0,0,,,,
stop_2603280916_11606,Regional Government,53.046385,158.662034,,,,0,0,,,,
stop_2603280916_20382,Police Department,53.042163,158.661117,,,,0,0,,,,
stop_2603280916_13089,Regional Hospital,53.039035,158.658593,,,,0,0,,,,
stop_2603280916_91139,Komsomol Square,53.036334,158.654988,,,,0,0,,,,
stop_2603280916_90780,Spartak Stadium,53.032565,158.643034,,,,0,0,,,,
stop_2603280916_73723,Lake Kultuchnoye,53.031844,158.638800,,,,0,0,,,,
stop_2603280916_42075,Ozernovskaya Spit St.,53.028819,158.639908,,,,0,0,,,,
stop_2603280916_20580,Drama Theatre,53.022792,158.645259,,,,0,0,,,,
stop_2603280916_60259,Fleet Alley,53.016718,158.648687,,,,0,0,,,,
stop_2603280916_19271,Chubarov St.,53.069124,158.615603,,,,0,0,,,,
stop_2603280916_06722,Detsky Store,53.066682,158.630134,,,,0,0,,,,
stop_2603280916_50649,Border Town,53.065780,158.635482,,,,0,0,,,,
stop_2603280916_18038,Puppet Theatre,53.055418,158.657547,,,,0,0,,,,
stop_2603280916_46498,Zvyozdnaya St.,53.054503,158.665154,,,,0,0,,,,
stop_2603280916_03918,BAM Shopping Center,53.056720,158.674752,,,,0,0,,,,
stop_2603280916_21108,Tsiolkovsky Avenue,53.053183,158.678635,,,,0,0,,,,
stop_2603280916_80288,On request,53.049031,158.679088,,,,0,0,,,,
stop_2603280916_87512,Orangery,53.045364,158.673627,,,,0,0,,,,
stop_2603280916_93989,Poluekipazh,53.040778,158.677436,,,,0,0,,,,
stop_2603280916_17902,Children's Park,53.036175,158.673247,,,,0,0,,,,
stop_2603280916_57792,City Administration,53.009198,158.654116,,,,0,0,,,,
stop_2603280916_41948,Admiral Shchedrin Square,53.006265,158.658038,,,,0,0,,,,
stop_2603280916_75967,Krasnaya Sopka,52.998399,158.662013,,,,0,0,,,,
stop_2603280916_79316,School No. 29,52.997890,158.657541,,,,0,0,,,,
stop_2603280916_91154,Ryabikovskaya St.,52.994686,158.656961,,,,0,0,,,,
