"shape_id","shape_pt_lat","shape_pt_lon","shape_pt_sequence"
"shape_route_2603280916_42721","53.070201","158.603492","0"
"shape_route_2603280916_42721","53.069673","158.610004","1"
"shape_route_2603280916_42721","53.065663","158.624385","2"
"shape_route_2603280916_42721","53.061533","158.628919","3"
"shape_route_2603280916_42721","53.059638","158.630884","4"
"shape_route_2603280916_42721","53.058388","158.632107","5"
"shape_route_2603280916_42721","53.061212","158.636516","6"
"shape_route_2603280916_42721","53.063359","158.639638","7"
"shape_route_2603280916_42721","53.064674","158.640089","8"
"shape_route_2603280916_42721","53.064880","158.640625","9"
"shape_route_2603280916_42721","53.064506","158.642964","10"
"shape_route_2603280916_42721","53.063913","158.645711","11"
"shape_route_2603280916_42721","53.060224","158.649939","12"
"shape_route_2603280916_42721","53.054282","158.650112","13"
"shape_route_2603280916_42721","53.050019","158.658487","14"
"shape_route_2603280916_42721","53.046385","158.662034","15"
"shape_route_2603280916_42721","53.042374","158.661418","16"
"shape_route_2603280916_42721","53.041110","158.661203","17"
"shape_route_2603280916_42721","53.039035","158.658593","18"
"shape_route_2603280916_42721","53.036334","158.654988","19"
"shape_route_2603280916_42721","53.034449","158.649011","20"
"shape_route_2603280916_42721","53.032565","158.643034","21"
"shape_route_2603280916_42721","53.031844","158.638800","22"
"shape_route_2603280916_42721","53.028819","158.639908","23"
"shape_route_2603280916_42721","53.022792","158.645259","24"
"shape_route_2603280916_42721","53.016718","158.648687","25"
"shape_route_2603280916_20893","53.070201","158.603492","0"
"shape_route_2603280916_20893","53.069673","158.610004","1"
"shape_route_2603280916_20893","53.069124","158.615603","2"
"shape_route_2603280916_20893","53.065663","158.624385","3"
"shape_route_2603280916_20893","53.066682","158.630134","4"
"shape_route_2603280916_20893","53.065780","158.635482","5"
"shape_route_2603280916_20893","53.063713","158.645759","6"
"shape_route_2603280916_20893","53.060224","158.649939","7"
"shape_route_2603280916_20893","53.055418","158.657547","8"
"shape_route_2603280916_20893","53.054503","158.665154","9"
"shape_route_2603280916_20893","53.056720","158.674752","10"
"shape_route_2603280916_20893","53.053183","158.678635","11"
"shape_route_2603280916_20893","53.049031","158.679088","12"
"shape_route_2603280916_20893","53.045364","158.673627","13"
"shape_route_2603280916_20893","53.040778","158.677436","14"
"shape_route_2603280916_20893","53.036175","158.673247","15"
"shape_route_2603280916_20893","53.036334","158.654988","16"
"shape_route_2603280916_20893","53.032565","158.643034","17"
"shape_route_2603280916_20893","53.031844","158.638800","18"
"shape_route_2603280916_20893","53.028819","158.639908","19"
"shape_route_2603280916_20893","53.022792","158.645259","20"
"shape_route_2603280916_20893","53.016718","158.648687","21"
"shape_route_2603280916_20893","53.009198","158.654116","22"
"shape_route_2603280916_20893","53.006265","158.658038","23"
"shape_route_2603280916_20893","52.998399","158.662013","24"
