stop_id,stop_name,stop_lat,stop_lon,stop_code,stop_desc,stop_url,location_type,wheelchair_boarding,zone_id,stop_timezone,platform_code,tts_stop_name
stop_2603280916_80828,建设城,53.070201,158.603492,,,,0,0,,,,
stop_2603280916_27515,火山研究所,53.069673,158.610004,,,,0,0,,,,
stop_2603280916_76068,州立图书馆,53.065663,158.624385,,,,0,0,,,,
stop_2603280916_79695,堪察加师范学院,53.061533,158.628919,,,,0,0,,,,
stop_2603280916_80663,印刷厂,53.059552,158.634331,,,,0,0,,,,
stop_2603280916_38409,地热公司,53.064117,158.640227,,,,0,0,,,,
stop_2603280916_51730,建材市场,53.063713,158.645759,,,,0,0,,,,
stop_2603280916_67916,地平线-北部,53.060224,158.649939,,,,0,0,,,,
stop_2603280916_13796,科罗廖夫院士街,53.054282,158.650112,,,,0,0,,,,
stop_2603280916_56233,罗迪奇奥克幼儿园,53.050019,158.658487,,,,0,0,,,,
stop_2603280916_11606,州政府,53.046385,158.662034,,,,0,0,,,,
stop_2603280916_20382,警察局,53.042163,158.661117,,,,0,0,,,,
stop_2603280916_13089,州立医院,53.039035,158.658593,,,,0,0,,,,
stop_2603280916_91139,共青团广场,53.036334,158.654988,,,,0,0,,,,
stop_2603280916_90780,斯巴达克体育场,53.032565,158.643034,,,,0,0,,,,
stop_2603280916_73723,库尔图奇湖,53.031844,158.638800,,,,0,0,,,,
stop_2603280916_42075,湖岸沙咀街,53.028819,158.639908,,,,0,0,,,,
stop_2603280916_20580,话剧院,53.022792,158.645259,,,,0,0,,,,
stop_2603280916_60259,舰队林荫道,53.016718,158.648687,,,,0,0,,,,
stop_2603280916_19271,丘巴罗夫街,53.069124,158.615603,,,,0,0,,,,
stop_2603280916_06722,儿童商店,53.066682,158.630134,,,,0,0,,,,
stop_2603280916_50649,边防城,53.065780,158.635482,,,,0,0,,,,
stop_2603280916_18038,木偶剧院,53.055418,158.657547,,,,0,0,,,,
stop_2603280916_46498,星星街,53.054503,158.665154,,,,0,0,,,,
stop_2603280916_03918,BAM购物中心,53.056720,158.674752,,,,0,0,,,,
stop_2603280916_21108,齐奥尔科夫斯基大街,53.053183,158.678635,,,,0,0,,,,
stop_2603280916_80288,按需停靠,53.049031,158.679088,,,,0,0,,,,
stop_2603280916_87512,温室,53.045364,158.673627,,,,0,0,,,,
stop_2603280916_93989,半编制区,53.040778,158.677436,,,,0,0,,,,
stop_2603280916_17902,儿童公园,53.036175,158.673247,,,,0,0,,,,
stop_2603280916_57792,市政府,53.009198,158.654116,,,,0,0,,,,
stop_2603280916_41948,舍德里诺夫上将广场,53.006265,158.658038,,,,0,0,,,,
stop_2603280916_75967,红山,52.998399,158.662013,,,,0,0,,,,
stop_2603280916_79316,29号学校,52.997890,158.657541,,,,0,0,,,,
stop_2603280916_91154,里亚比科夫街,52.994686,158.656961,,,,0,0,,,,
stop_2603280916_12113,别林国立大学,53.036276,158.663304,,,,0,0,,,,
stop_2603280916_73498,里亚比科夫街,52.994613,158.657198,,,,0,0,,,,
stop_2603280916_59398,29号学校,52.997656,158.658068,,,,0,0,,,,
